Expression	Period
2.77681758815947	PN0#Myonuclei
0	PN0#Myonuclei
2.72855201034248	PN0#Myonuclei
1.55834201633772	PN0#Myonuclei
2.57909614672062	PN0#Myonuclei
1.89529474083648	PN0#Myonuclei
0	PN0#Myonuclei
2.53448278442576	PN0#Myonuclei
0	PN0#Myonuclei
1.98100146886658	PN0#Myonuclei
3.30493311606654	PN0#Myonuclei
0	PN0#Myonuclei
2.64417957597193	PN0#Myonuclei
0	PN0#Myonuclei
2.69287596471807	PN0#Myonuclei
0	PN0#Myonuclei
2.54289734536132	PN0#Myonuclei
2.65566969252396	PN0#Myonuclei
3.01592964364232	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.23247692171046	PN0#Myonuclei
2.85712393248333	PN0#Myonuclei
0	PN0#Myonuclei
2.31114367526795	PN0#Myonuclei
1.37721353950801	PN0#Myonuclei
0	PN0#Myonuclei
1.99733992184537	PN0#Myonuclei
0	PN0#Myonuclei
1.64830333416393	PN0#Myonuclei
2.87535594514573	PN0#Myonuclei
2.81355486180781	PN0#Myonuclei
2.56809357792768	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.85867215740902	PN0#Myonuclei
1.65306677482331	PN0#Myonuclei
1.82764235530237	PN0#Myonuclei
1.5722597768107	PN0#Myonuclei
0	PN0#Myonuclei
3.25929924184433	PN0#Myonuclei
2.47896920370852	PN0#Myonuclei
2.99630245317601	PN0#Myonuclei
1.6714083440343	PN0#Myonuclei
0	PN0#Myonuclei
2.08224659260744	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.66881159069705	PN0#Myonuclei
0	PN0#Myonuclei
2.03804222210607	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.66943642259855	PN0#Myonuclei
0	PN0#Myonuclei
1.71559154714238	PN0#Myonuclei
1.97216318304985	PN0#Myonuclei
3.34761523299085	PN0#Myonuclei
2.65517764120922	PN0#Myonuclei
2.02081916795289	PN0#Myonuclei
1.93806563406736	PN0#Myonuclei
1.54196587402734	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.99090020199846	PN0#Myonuclei
2.03072308720752	PN0#Myonuclei
0	PN0#Myonuclei
2.01685551058656	PN0#Myonuclei
1.86401676145941	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.5450590981583	PN0#Myonuclei
2.82230910152803	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.02366296411885	PN0#Myonuclei
2.03110657190696	PN0#Myonuclei
1.71000434612725	PN0#Myonuclei
2.06462131982743	PN0#Myonuclei
2.35277882971183	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.9272206321319	PN0#Myonuclei
1.19743274066139	PN0#Myonuclei
2.02167119906472	PN0#Myonuclei
3.36267281679959	PN0#Myonuclei
0	PN0#Myonuclei
2.03688192726104	PN0#Myonuclei
0	PN0#Myonuclei
3.70690556052822	PN0#Myonuclei
0	PN0#Myonuclei
1.60148558424361	PN0#Myonuclei
3.36305719431417	PN0#Myonuclei
0	PN0#Myonuclei
1.81936793330905	PN0#Myonuclei
0	PN0#Myonuclei
3.21902943764909	PN0#Myonuclei
1.95505129584018	PN0#Myonuclei
0	PN0#Myonuclei
2.55503768526265	PN0#Myonuclei
0	PN0#Myonuclei
2.0679334350841	PN0#Myonuclei
2.8870095652208	PN0#Myonuclei
0	PN0#Myonuclei
2.70494460854406	PN0#Myonuclei
1.44244257182312	PN0#Myonuclei
0	PN0#Myonuclei
2.04036807337492	PN0#Myonuclei
2.52157578583493	PN0#Myonuclei
2.72159442620997	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.92120816805698	PN0#Myonuclei
1.48798858236429	PN0#Myonuclei
0	PN0#Myonuclei
3.10029094109997	PN0#Myonuclei
2.05269531133651	PN0#Myonuclei
2.59424355958848	PN0#Myonuclei
0	PN0#Myonuclei
1.90764955184506	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.33111070911831	PN0#Myonuclei
1.60402000419271	PN0#Myonuclei
1.98100146886658	PN0#Myonuclei
1.88693390396141	PN0#Myonuclei
0	PN0#Myonuclei
2.91848047211265	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.9357651347159	PN0#Myonuclei
0	PN0#Myonuclei
2.08594362943213	PN0#Myonuclei
2.37680123153569	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.70299123288682	PN0#Myonuclei
2.99054119659179	PN0#Myonuclei
2.26675326928704	PN0#Myonuclei
1.77304888781838	PN0#Myonuclei
1.86263667233504	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.4097979952674	PN0#Myonuclei
1.91452120083821	PN0#Myonuclei
2.01291228114764	PN0#Myonuclei
0	PN0#Myonuclei
2.02823509431132	PN0#Myonuclei
2.45478755223888	PN0#Myonuclei
1.9850532288193	PN0#Myonuclei
2.48802906944303	PN0#Myonuclei
1.73801327664054	PN0#Myonuclei
2.01968459887662	PN0#Myonuclei
1.49680801204625	PN0#Myonuclei
0	PN0#Myonuclei
2.98019157934228	PN0#Myonuclei
3.35336811722621	PN0#Myonuclei
2.7609471472243	PN0#Myonuclei
0	PN0#Myonuclei
1.53080071180382	PN0#Myonuclei
2.31040734706323	PN0#Myonuclei
0	PN0#Myonuclei
1.6462720665806	PN0#Myonuclei
3.31510191015727	PN0#Myonuclei
2.11970640044982	PN0#Myonuclei
2.75651732929246	PN0#Myonuclei
2.38481670629391	PN0#Myonuclei
3.22620080581533	PN0#Myonuclei
1.84268960877036	PN0#Myonuclei
0	PN0#Myonuclei
2.82372690956189	PN0#Myonuclei
1.55450349098334	PN0#Myonuclei
2.6021111759002	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.00341976423649	PN0#Myonuclei
2.14960885591511	PN0#Myonuclei
1.78760491402091	PN0#Myonuclei
0	PN0#Myonuclei
3.28554230537379	PN0#Myonuclei
0	PN0#Myonuclei
3.80592400948568	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
1.58802651512561	PN0#Myonuclei
2.0628206604438	PN0#Myonuclei
1.61748624561693	PN0#Myonuclei
1.98803833847065	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.65949256803486	PN0#Myonuclei
0	PN0#Myonuclei
0	PN0#Myonuclei
2.01911794411343	PN0#Myonuclei
1.588336428744	PN0#Myonuclei
